slope_risk,rainfall_24h_mm,road_condition,bridge_condition,historical_disruptions,congestion_level,flood_risk_level,landslide_probability,elevation_m,river_proximity,month,road_distance_km,risk_score,risk_level,estimated_hours,delay_hours
51.9,0.1,1,1,0,0,6.0,0.16,550.0,0.5,11,110,12,low,3.1,0.9
62.8,4.2,1,0,4,0,65.1,1.0,1197.0,0.3,7,180,33,medium,5.3,1.5
34.4,21.4,0,0,5,2,100.0,0.767,20.0,0.8,9,320,34,medium,7.5,0.8
2.3,0.3,0,0,0,0,14.1,0.02,35.0,0.85,11,550,6,low,11.5,0.0
35.7,8.7,1,0,6,0,70.4,0.632,250.0,0.6,10,230,23,low,6.9,2.1
52.7,7.8,1,0,0,1,4.6,0.167,1238.0,0.35,3,190,14,low,5.6,1.7
39.1,0.2,1,1,0,1,15.1,0.01,574.0,0.55,1,380,23,low,10.9,3.0
14.6,1.3,0,0,0,0,10.3,0.083,215.0,0.75,1,280,3,low,5.9,0.0
75.4,0.7,1,0,5,0,24.3,0.926,1238.0,0.35,5,190,33,medium,5.4,1.5
41.0,0.2,0,0,6,3,78.3,0.261,688.0,0.6,10,210,26,low,4.4,0.0
24.5,2.9,0,0,1,1,14.8,0.021,202.0,0.7,12,330,11,low,7.0,0.1
13.6,5.2,0,1,9,0,100.0,0.282,102.0,0.7,9,270,27,low,5.8,0.1
38.5,52.4,0,0,13,2,100.0,1.0,422.0,0.65,9,485,53,medium,13.7,3.6
57.3,28.5,1,1,5,3,28.2,1.0,1117.0,0.35,4,145,42,medium,4.8,1.8
58.1,1.7,1,1,1,0,13.4,0.042,578.0,0.45,12,168,22,low,4.8,1.3
53.0,19.3,1,0,5,1,55.4,1.0,1238.0,0.35,8,190,35,medium,6.0,2.0
41.4,0.8,0,0,3,0,79.3,0.265,688.0,0.6,4,210,15,low,4.4,0.0
45.0,15.9,0,0,4,1,100.0,0.182,790.0,0.55,10,98,25,low,2.2,0.2
21.1,5.2,1,0,0,0,14.4,0.045,488.0,0.55,1,140,15,low,4.1,1.2
35.5,5.7,1,0,1,0,93.6,0.148,502.0,0.6,4,270,20,low,7.9,2.3
18.2,27.1,0,0,5,1,100.0,0.42,40.0,0.75,6,310,25,low,7.5,1.0
28.2,57.0,0,0,4,1,100.0,1.0,215.0,0.75,4,280,41,medium,8.2,2.3
26.7,7.4,0,0,3,2,48.2,0.77,422.0,0.65,4,485,27,low,10.5,0.4
41.9,2.6,0,0,3,0,50.5,0.277,115.0,0.75,4,195,13,low,4.1,0.1
40.9,35.1,1,1,9,1,51.1,1.0,1117.0,0.35,6,145,46,medium,5.0,2.0
50.3,7.9,1,0,0,1,16.2,0.024,502.0,0.6,11,270,17,low,8.0,2.4
0.0,6.3,0,0,2,1,15.8,0.023,35.0,0.85,1,550,11,low,11.8,0.4
41.6,0.2,0,0,4,0,4.0,0.141,1438.0,0.4,2,85,10,low,1.8,0.0
42.0,9.9,2,1,9,1,100.0,0.624,578.0,0.45,9,168,48,medium,11.8,8.3
46.7,22.6,1,1,5,3,87.2,1.0,550.0,0.5,8,110,49,medium,3.5,1.3
51.6,7.1,0,0,10,2,34.3,1.0,750.0,0.5,9,340,29,low,7.3,0.3
17.3,1.8,0,0,0,3,14.5,0.021,68.0,0.85,2,175,11,low,3.7,0.0
26.0,0.4,0,0,0,1,13.1,0.04,688.0,0.6,3,210,9,low,4.4,0.0
34.7,1.5,0,0,4,2,43.3,0.674,422.0,0.65,4,485,19,low,10.2,0.1
33.2,0.9,1,0,0,0,14.2,0.02,502.0,0.6,3,270,9,low,7.7,2.1
46.4,2.6,0,0,3,3,50.5,0.277,797.0,0.4,5,74,20,low,1.6,0.0
67.6,0.9,1,1,3,1,42.8,0.665,961.0,0.35,5,390,35,medium,11.2,3.1
33.6,1.2,0,0,0,0,10.2,0.082,215.0,0.75,3,280,8,low,5.9,0.0
31.2,2.1,0,0,0,1,13.6,0.042,408.0,0.6,1,240,2,low,5.1,0.1
54.9,0.0,1,0,0,0,14.0,0.02,502.0,0.6,12,270,13,low,7.7,2.1
44.3,3.9,1,0,3,1,90.5,0.143,502.0,0.6,10,270,27,low,7.9,2.2
33.4,2.5,1,1,0,0,15.7,0.011,574.0,0.55,3,380,12,low,11.0,3.1
21.9,1.4,1,0,0,2,10.3,0.083,250.0,0.6,2,230,13,low,6.6,1.8
20.7,6.1,0,0,3,0,94.3,0.15,102.0,0.7,10,270,18,low,5.8,0.2
54.2,15.5,1,0,8,3,100.0,0.694,688.0,0.6,7,210,47,medium,6.5,2.1
32.5,1.4,0,0,3,1,80.1,0.269,688.0,0.6,10,210,17,low,4.4,0.0
1.0,90.9,1,0,11,2,100.0,0.818,202.0,0.7,7,330,57,medium,17.3,10.4
62.4,12.4,1,1,2,0,44.9,1.0,1041.0,0.3,5,200,26,low,6.1,1.9
76.4,2.1,1,1,2,0,37.5,1.0,1041.0,0.3,4,200,25,low,5.8,1.6
31.4,0.1,1,0,1,1,12.0,0.03,515.0,0.65,11,190,13,low,5.4,1.5
56.5,18.9,1,1,10,3,96.4,1.0,961.0,0.35,6,390,55,medium,12.3,4.2
18.4,36.5,1,0,6,2,100.0,0.478,68.0,0.85,8,175,44,medium,6.1,2.5
7.3,4.6,0,0,0,1,15.3,0.022,35.0,0.85,2,550,8,low,11.7,0.3
25.7,5.8,1,0,5,0,66.9,0.595,250.0,0.6,5,230,18,low,6.8,2.0
38.9,0.4,0,0,2,2,4.0,0.141,775.0,0.5,2,245,16,low,5.1,0.0
63.4,14.9,1,0,4,0,31.2,1.0,1238.0,0.35,5,190,29,low,5.9,1.9
65.8,0.3,2,2,5,3,36.2,1.0,870.0,0.45,10,310,43,medium,20.7,14.2
54.4,0.3,1,1,0,1,15.1,0.01,574.0,0.55,1,380,18,low,10.9,3.0
67.1,2.6,2,2,1,0,6.3,0.17,870.0,0.45,11,310,31,medium,20.9,14.5
32.3,2.4,1,0,5,0,75.4,0.207,515.0,0.65,5,190,19,low,5.5,1.5
11.8,0.9,0,0,0,1,14.2,0.02,35.0,0.85,12,550,13,low,11.5,0.0
62.8,44.8,1,1,4,1,68.2,1.0,550.0,0.5,5,110,48,medium,4.0,1.8
59.3,28.6,0,0,4,1,37.7,1.0,1438.0,0.4,4,85,31,medium,2.1,0.3
38.4,8.4,1,0,3,3,100.0,0.605,20.0,0.8,9,320,36,medium,9.5,2.9
46.7,1.1,1,0,0,1,14.3,0.021,502.0,0.6,2,270,16,low,7.8,2.1
41.6,0.6,1,1,0,0,6.1,0.163,550.0,0.5,1,110,20,low,3.2,0.9
37.5,1.2,1,0,0,3,12.3,0.031,515.0,0.65,11,190,18,low,5.5,1.5
40.2,0.7,1,0,1,1,12.2,0.031,762.0,0.55,12,265,18,low,7.6,2.1
49.8,46.3,2,1,6,0,57.8,1.0,1117.0,0.35,9,145,50,medium,12.6,9.6
18.9,2.7,1,0,8,1,100.0,0.4,115.0,0.75,9,195,31,medium,5.6,1.6
22.9,62.1,0,0,5,1,100.0,0.957,115.0,0.75,7,195,39,medium,5.9,1.8
22.2,0.4,1,0,5,1,100.0,0.252,40.0,0.75,6,310,22,low,8.9,2.4
12.3,10.0,0,0,3,3,100.0,0.313,35.0,0.85,6,550,25,low,12.1,0.6
23.3,2.6,0,0,5,2,50.5,0.277,115.0,0.75,10,195,16,low,4.1,0.1
46.6,2.9,0,0,1,3,13.8,0.043,688.0,0.6,3,210,13,low,4.4,0.1
37.1,30.6,1,0,6,2,100.0,0.662,802.0,0.6,7,270,41,medium,9.1,3.5
44.0,4.1,0,0,3,3,43.3,1.0,1438.0,0.4,7,85,29,low,1.8,0.0
22.7,12.4,0,0,3,0,97.4,0.341,688.0,0.6,5,210,20,low,4.7,0.3
12.6,20.6,0,0,6,3,100.0,0.379,35.0,0.85,7,550,34,medium,12.8,1.3
43.4,3.1,1,0,4,2,82.8,0.28,488.0,0.55,4,140,27,low,4.1,1.1
53.0,18.0,1,1,4,2,95.2,1.0,961.0,0.35,6,390,50,medium,12.2,4.1
67.1,4.5,1,0,2,0,85.0,0.289,488.0,0.55,4,140,26,low,4.1,1.2
46.2,32.1,1,1,8,3,100.0,0.901,578.0,0.45,7,168,58,medium,5.7,2.2
44.3,5.6,1,1,10,1,66.8,1.0,550.0,0.5,6,110,43,medium,3.2,0.9
61.8,0.4,0,0,1,0,4.0,0.142,1438.0,0.4,1,85,12,low,1.8,0.0
17.5,19.5,0,0,1,1,18.1,0.059,20.0,0.8,3,320,12,low,7.4,0.7
13.3,0.8,0,0,1,0,13.2,0.041,20.0,0.8,1,320,4,low,6.7,0.0
45.9,2.7,2,1,7,1,31.6,1.0,1117.0,0.35,6,145,41,medium,9.8,6.8
35.2,0.9,1,0,0,0,10.2,0.082,250.0,0.6,2,230,14,low,6.6,1.8
47.3,43.1,1,1,9,0,100.0,0.54,578.0,0.45,5,168,50,medium,6.1,2.6
43.2,2.5,1,1,0,1,3.2,0.181,1117.0,0.35,1,145,13,low,4.2,1.2
43.5,8.2,2,1,3,3,100.0,0.602,578.0,0.45,6,168,41,medium,11.7,8.2
73.0,1.6,0,0,6,0,24.8,0.947,1438.0,0.4,10,85,22,low,1.8,0.0
32.3,4.3,0,1,0,3,15.2,0.022,594.0,0.5,12,440,18,low,9.4,0.2
34.2,15.1,1,0,3,1,78.1,0.716,250.0,0.6,5,230,31,medium,7.1,2.3
75.6,13.5,2,1,10,2,76.2,1.0,1041.0,0.3,7,200,54,medium,14.3,10.1
70.1,23.9,2,1,9,1,100.0,0.798,578.0,0.45,7,168,58,medium,12.7,9.2
21.2,6.6,0,0,2,1,81.4,0.227,802.0,0.6,10,270,14,low,5.8,0.2
32.3,22.9,1,0,17,1,100.0,0.786,470.0,0.55,9,215,45,medium,6.9,2.5
30.3,37.4,1,0,4,2,100.0,0.968,408.0,0.6,7,240,38,medium,8.4,3.4
70.2,8.3,1,1,10,2,69.9,1.0,1041.0,0.3,8,200,48,medium,6.0,1.8
30.6,31.2,2,0,9,3,100.0,1.0,250.0,0.6,8,230,52,medium,18.2,13.4
58.2,2.0,1,0,0,0,12.5,0.031,762.0,0.55,11,265,15,low,7.6,2.1
18.0,0.4,1,0,2,1,10.1,0.081,250.0,0.6,11,230,7,low,6.6,1.8
59.9,3.5,0,0,0,2,4.3,0.152,1438.0,0.4,2,85,14,low,1.8,0.0
45.5,1.2,0,0,1,0,13.3,0.041,688.0,0.6,11,210,9,low,4.4,0.0
55.5,1.4,1,1,0,0,13.4,0.041,578.0,0.45,3,168,17,low,4.8,1.3
39.7,11.1,0,0,9,2,100.0,0.639,688.0,0.6,8,210,34,medium,4.6,0.3
64.5,29.9,1,1,5,2,100.0,1.0,961.0,0.35,7,390,51,medium,13.1,5.0
31.6,28.1,0,0,2,0,100.0,0.851,797.0,0.4,8,74,27,low,1.8,0.3
38.2,0.9,0,0,2,2,14.3,0.02,68.0,0.85,2,175,13,low,3.7,0.0
41.3,0.6,1,0,0,2,13.2,0.041,488.0,0.55,3,140,16,low,4.0,1.1
65.5,28.0,1,1,4,1,100.0,0.213,574.0,0.55,8,380,41,medium,12.6,4.7
41.7,2.8,0,1,6,1,100.0,0.268,594.0,0.5,8,440,26,low,9.3,0.1
59.6,32.3,1,1,10,3,100.0,0.226,574.0,0.55,9,380,54,medium,12.9,5.0
30.7,8.9,0,0,7,2,21.2,1.0,750.0,0.5,10,340,25,low,7.4,0.3
38.6,2.2,2,0,8,2,100.0,1.0,250.0,0.6,7,230,41,medium,15.5,10.7
44.7,0.5,1,0,1,2,12.1,0.03,762.0,0.55,12,265,22,low,7.6,2.1
24.7,11.9,0,0,5,2,22.3,1.0,750.0,0.5,5,340,22,low,7.5,0.4
49.9,3.7,2,1,9,1,64.5,1.0,550.0,0.5,9,110,46,medium,7.5,5.2
44.7,0.9,0,0,1,2,3.1,0.174,750.0,0.5,2,340,14,low,7.1,0.0
34.3,53.9,0,0,2,0,100.0,0.61,688.0,0.6,5,210,32,medium,6.0,1.6
26.8,1.8,0,0,1,0,14.5,0.021,202.0,0.7,3,330,3,low,6.9,0.1
54.0,1.0,0,0,0,0,8.2,0.041,797.0,0.4,12,74,4,low,1.5,0.0
42.5,2.1,0,0,2,1,13.6,0.042,408.0,0.6,2,240,16,low,5.1,0.1
54.5,2.0,1,1,6,0,41.6,1.0,1438.0,0.4,9,85,33,medium,2.5,0.7
14.1,3.2,0,0,6,2,85.1,0.54,115.0,0.75,7,195,24,low,4.1,0.1
24.8,0.2,0,0,5,0,84.3,0.131,790.0,0.55,10,98,18,low,2.0,0.0
7.3,40.1,1,0,11,1,100.0,0.501,68.0,0.85,6,175,48,medium,6.3,2.6
9.1,12.6,1,0,11,2,100.0,0.658,115.0,0.75,9,195,44,medium,5.9,1.9
47.5,38.7,1,0,2,1,100.0,0.984,488.0,0.55,8,140,41,medium,5.0,2.0
22.5,11.4,0,0,5,2,100.0,0.321,790.0,0.55,7,98,22,low,2.2,0.1
48.4,0.5,1,0,0,0,8.1,0.04,470.0,0.55,12,215,18,low,6.2,1.7
63.1,2.4,1,1,0,3,7.3,0.106,961.0,0.35,3,390,30,low,11.3,3.2
21.9,11.4,0,0,7,2,100.0,0.322,790.0,0.55,7,98,24,low,2.2,0.1
33.6,0.5,0,0,1,1,14.1,0.02,202.0,0.7,11,330,10,low,6.9,0.0
60.6,0.4,1,1,0,0,7.1,0.101,961.0,0.35,3,390,20,low,11.2,3.0
38.8,6.5,0,0,6,1,90.3,0.581,797.0,0.4,6,74,24,low,1.6,0.1
37.8,8.3,0,0,3,2,56.0,0.314,797.0,0.4,5,74,23,low,1.6,0.1
19.8,18.4,0,0,2,2,65.6,0.379,115.0,0.75,5,195,23,low,4.5,0.4
32.2,2.6,0,0,1,2,7.4,0.106,422.0,0.65,1,485,14,low,10.2,0.1
43.5,10.5,1,0,7,0,100.0,0.316,502.0,0.6,6,270,28,low,8.1,2.5
6.6,1.6,0,0,0,3,14.4,0.021,40.0,0.75,1,310,16,low,6.5,0.1
52.8,0.5,1,1,0,1,13.1,0.041,578.0,0.45,1,168,21,low,4.8,1.3
39.4,5.1,0,0,0,1,14.3,0.045,688.0,0.6,3,210,10,low,4.5,0.1
37.9,4.9,0,1,4,3,92.2,0.146,594.0,0.5,10,440,25,low,9.4,0.2
79.3,0.9,1,1,1,0,7.1,0.102,961.0,0.35,12,390,20,low,11.2,3.1
63.0,4.8,1,0,0,1,4.4,0.157,1238.0,0.35,3,190,17,low,5.6,1.6
32.5,2.0,0,1,0,3,14.6,0.021,594.0,0.5,3,440,14,low,9.3,0.1
2.4,8.7,0,0,5,0,98.6,0.158,35.0,0.85,10,550,17,low,12.0,0.5
69.8,38.5,2,2,4,1,63.8,1.0,870.0,0.45,10,310,48,medium,25.6,19.1
53.1,3.9,0,0,9,0,86.2,0.548,797.0,0.4,7,74,29,low,1.6,0.0
39.7,6.1,0,0,0,1,14.6,0.046,688.0,0.6,2,210,13,low,4.5,0.1
50.0,3.5,2,2,0,1,6.4,0.174,870.0,0.45,11,310,27,low,21.0,14.6
48.5,6.7,0,1,1,2,95.2,0.152,594.0,0.5,10,440,27,low,9.5,0.3
28.6,1.5,0,0,11,1,41.2,1.0,775.0,0.5,9,245,25,low,5.1,0.0
28.1,4.8,1,0,3,0,11.0,0.09,250.0,0.6,11,230,19,low,6.7,1.9
18.3,3.4,0,0,11,3,85.4,0.542,115.0,0.75,8,195,31,medium,4.1,0.1
58.8,0.1,1,1,0,0,7.0,0.1,961.0,0.35,12,390,15,low,11.1,3.0
40.1,0.5,0,0,0,1,12.1,0.03,802.0,0.6,12,270,9,low,5.6,0.0
16.1,0.8,1,1,4,2,36.6,1.0,550.0,0.5,10,110,29,low,3.2,0.9
24.1,87.0,1,0,5,2,100.0,1.0,422.0,0.65,8,485,52,medium,24.5,14.4
41.1,19.6,1,1,8,3,83.5,1.0,550.0,0.5,6,110,48,medium,3.5,1.2
14.3,22.1,0,0,2,2,100.0,0.202,202.0,0.7,5,330,18,low,7.7,0.9
33.2,0.5,1,0,3,2,100.0,0.506,688.0,0.6,8,210,21,low,6.0,1.6
47.6,1.7,0,0,0,1,4.1,0.146,1438.0,0.4,1,85,11,low,1.8,0.0
58.1,2.5,1,1,1,1,6.3,0.17,1041.0,0.3,3,200,22,low,5.8,1.6
22.8,9.5,0,0,7,0,28.5,1.0,775.0,0.5,5,245,16,low,5.4,0.3
44.1,19.0,1,1,7,3,82.8,1.0,550.0,0.5,9,110,49,medium,3.5,1.2
22.3,0.7,0,0,0,2,85.1,0.132,202.0,0.7,4,330,16,low,6.9,0.0
14.0,7.4,0,0,5,2,100.0,1.0,215.0,0.75,9,280,24,low,6.1,0.2
33.6,12.2,1,1,10,0,100.0,1.0,215.0,0.75,8,280,45,medium,8.5,2.7
49.0,29.4,2,0,8,1,100.0,0.867,488.0,0.55,7,140,51,medium,10.9,8.0
62.1,25.1,2,0,14,1,60.1,1.0,1238.0,0.35,8,190,52,medium,14.5,10.5
56.6,31.3,0,0,12,1,65.1,1.0,1438.0,0.4,6,85,43,medium,2.1,0.3
10.5,3.1,0,0,5,0,82.9,0.28,20.0,0.8,4,320,16,low,6.8,0.1
63.2,23.2,2,1,4,2,100.0,0.79,578.0,0.45,6,168,51,medium,12.7,9.2
27.2,27.0,0,0,2,0,100.0,0.326,802.0,0.6,4,270,24,low,6.5,0.9
38.2,58.9,0,0,6,2,91.5,1.0,422.0,0.65,5,485,43,medium,14.3,4.2
26.2,10.0,1,1,3,0,100.0,0.081,574.0,0.55,10,380,30,low,11.4,3.5
11.3,7.4,0,0,7,0,96.5,0.154,35.0,0.85,4,550,18,low,11.9,0.4
58.3,8.5,1,0,2,0,4.7,0.17,1238.0,0.35,3,190,18,low,5.7,1.7
28.6,4.7,1,0,2,0,78.8,0.218,515.0,0.65,5,190,19,low,5.6,1.6
53.6,86.5,1,0,9,3,100.0,0.79,502.0,0.6,9,270,65,high,13.6,8.0
13.4,0.1,0,0,0,2,10.0,0.08,215.0,0.75,2,280,4,low,5.8,0.0
62.2,20.1,2,0,8,1,84.1,1.0,1197.0,0.3,8,180,50,medium,13.3,9.6
40.6,8.6,1,0,5,3,98.5,0.158,502.0,0.6,5,270,34,medium,8.1,2.4
38.7,7.1,0,0,0,2,8.0,0.118,422.0,0.65,2,485,17,low,10.5,0.4
36.5,5.3,2,0,7,2,88.5,0.567,470.0,0.55,8,215,39,medium,14.7,10.2
39.5,2.4,1,0,0,0,14.7,0.021,502.0,0.6,3,270,9,low,7.8,2.2
60.0,3.1,2,2,1,3,6.4,0.172,870.0,0.45,2,310,35,medium,21.0,14.5
27.9,17.7,0,1,8,2,100.0,0.361,594.0,0.5,9,440,34,medium,10.1,0.9
34.2,31.4,1,0,6,3,100.0,0.892,488.0,0.55,9,140,42,medium,4.7,1.8
46.8,1.4,2,2,7,3,37.0,1.0,870.0,0.45,10,310,37,medium,20.8,14.3
71.5,4.6,2,2,2,1,39.3,1.0,870.0,0.45,10,310,39,medium,21.2,14.7
2.9,3.6,0,0,6,1,90.1,0.142,35.0,0.85,4,550,17,low,11.7,0.2
16.2,3.3,0,0,0,0,13.8,0.043,20.0,0.8,11,320,4,low,6.8,0.1
38.4,13.2,0,0,0,1,16.4,0.053,688.0,0.6,3,210,10,low,4.7,0.3
32.8,1.8,1,0,1,1,12.4,0.031,762.0,0.55,1,265,15,low,7.6,2.1
32.1,3.6,0,0,7,0,45.0,0.708,422.0,0.65,5,485,17,low,10.3,0.2
77.3,0.5,1,0,2,0,6.1,0.162,1197.0,0.3,12,180,22,low,5.2,1.4
57.0,5.0,1,1,1,1,7.7,0.113,961.0,0.35,2,390,21,low,11.4,3.3
33.6,0.2,0,0,2,1,13.0,0.04,20.0,0.8,11,320,8,low,6.7,0.0
45.7,113.9,1,1,4,1,100.0,1.0,578.0,0.45,7,168,56,medium,11.2,7.7
31.9,15.1,0,0,3,2,93.8,0.269,115.0,0.75,5,195,33,medium,4.4,0.3
21.2,1.4,0,0,1,0,14.4,0.021,102.0,0.7,1,270,6,low,5.7,0.0
70.7,4.6,2,2,4,2,39.3,1.0,870.0,0.45,10,310,44,medium,21.2,14.7
75.9,2.9,2,1,10,2,63.5,1.0,1197.0,0.3,8,180,54,medium,12.2,8.4
25.7,13.0,1,0,1,1,60.5,0.344,470.0,0.55,5,215,25,low,6.6,2.1
23.5,45.9,1,0,5,0,100.0,1.0,215.0,0.75,8,280,40,medium,10.4,4.5
65.1,1.9,1,1,2,0,3.1,0.178,1117.0,0.35,12,145,22,low,4.2,1.2
17.1,2.4,0,0,1,0,13.6,0.042,20.0,0.8,1,320,4,low,6.7,0.1
16.5,3.6,0,0,0,2,15.0,0.022,790.0,0.55,11,98,2,low,2.1,0.0
17.5,0.5,0,0,0,1,14.1,0.02,40.0,0.75,3,310,6,low,6.5,0.0
38.8,26.0,0,0,4,0,27.4,1.0,750.0,0.5,5,340,25,low,8.1,1.1
68.9,0.6,1,1,1,2,3.0,0.173,1117.0,0.35,11,145,24,low,4.2,1.1
29.7,2.0,1,1,6,1,100.0,0.263,202.0,0.7,8,330,37,medium,9.5,2.6
19.5,10.0,0,0,0,0,16.8,0.025,35.0,0.85,3,550,11,low,12.1,0.6
26.5,25.5,0,0,1,1,90.6,0.851,215.0,0.75,5,280,24,low,6.7,0.9
30.2,21.4,1,1,11,0,100.0,0.767,470.0,0.55,9,215,43,medium,6.9,2.4
11.6,22.6,0,0,9,2,100.0,0.783,20.0,0.8,6,320,37,medium,7.5,0.8
55.4,0.2,1,0,0,1,10.0,0.08,250.0,0.6,1,230,17,low,6.6,1.8
58.1,0.9,2,1,8,2,71.2,1.0,961.0,0.35,7,390,41,medium,26.1,18.0
38.3,2.0,0,0,0,1,10.4,0.084,215.0,0.75,11,280,8,low,5.9,0.1
42.3,4.6,1,0,2,0,91.6,0.145,502.0,0.6,4,270,22,low,7.9,2.3
41.0,24.7,1,0,4,1,100.0,0.315,515.0,0.65,5,190,27,low,6.2,2.2
13.7,1.8,0,0,2,0,10.4,0.084,215.0,0.75,2,280,0,low,5.9,0.1
48.2,3.4,0,0,1,0,13.9,0.043,688.0,0.6,12,210,8,low,4.5,0.1
8.7,4.0,1,0,6,1,100.0,0.275,68.0,0.85,9,175,26,low,5.1,1.5
42.2,1.7,0,1,7,2,100.0,0.26,594.0,0.5,8,440,32,medium,9.2,0.1
23.8,2.4,0,1,3,1,100.0,0.398,115.0,0.75,8,195,24,low,4.1,0.0
43.7,26.9,2,1,11,3,92.3,1.0,550.0,0.5,7,110,54,medium,8.5,6.2
44.3,47.2,0,0,8,1,100.0,1.0,688.0,0.6,8,210,44,medium,5.7,1.4
22.9,0.0,1,0,1,2,10.0,0.08,250.0,0.6,12,230,14,low,6.6,1.8
12.9,6.6,0,0,4,2,95.2,0.152,102.0,0.7,5,270,20,low,5.8,0.2
19.7,20.5,1,0,4,2,100.0,0.756,115.0,0.75,6,195,35,medium,6.2,2.1
12.6,2.2,0,0,1,2,87.7,0.137,68.0,0.85,5,175,14,low,3.7,0.0
9.5,13.2,0,0,0,1,12.6,0.106,215.0,0.75,3,280,7,low,6.2,0.4
30.1,36.2,0,0,9,2,100.0,1.0,422.0,0.65,6,485,42,medium,12.3,2.2
53.9,10.2,0,0,6,3,96.3,0.628,797.0,0.4,8,74,37,medium,1.6,0.1
28.3,3.9,0,0,8,0,84.0,0.285,688.0,0.6,10,210,23,low,4.5,0.1
15.3,1.0,0,0,0,0,8.2,0.041,115.0,0.75,1,195,3,low,4.1,0.0
33.5,0.6,0,0,1,3,7.1,0.101,422.0,0.65,12,485,16,low,10.1,0.0
43.9,31.6,1,0,9,2,100.0,0.895,797.0,0.4,7,74,48,medium,2.5,1.0
14.0,13.4,0,0,13,0,100.0,0.501,115.0,0.75,8,195,34,medium,4.4,0.3
56.1,2.4,0,0,2,2,4.2,0.148,1438.0,0.4,2,85,20,low,1.8,0.0
