district_id,month,elevation_m,slope_risk,flood_susceptibility,landslide_susceptibility,temp_celsius,humidity_percent,wind_kmh,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,seasonal_rainfall_avg_mm,landslide_occurred,flood_occurred,road_blocked,disruption_severity
aizawl,5,1120.0,83.3,0.1,0.8,24.1,88.8,0.1,13.2,20.0,20.5,280.0,1,0,0,41.5
kamrup,12,-17.0,19.2,0.7,0.1,28.5,84.1,0.5,0.2,0.3,0.3,18.0,0,0,0,1.4
kohima,9,1478.0,70.3,0.15,0.85,24.6,84.4,6.1,12.6,30.1,43.6,285.0,1,0,0,55.3
sonitpur,7,55.0,14.0,0.6,0.15,18.3,63.6,11.5,4.6,4.3,3.5,425.0,0,1,0,26.7
sonitpur,9,108.0,13.2,0.6,0.15,30.5,90.5,3.3,15.2,28.4,52.3,255.0,0,0,0,46.7
east_khasi,11,1566.0,59.1,0.2,0.7,33.8,92.6,5.6,1.0,2.2,2.5,44.0,0,0,0,0.3
aizawl,6,1228.0,79.7,0.1,0.8,33.4,63.5,3.8,49.7,72.6,51.9,440.0,1,1,1,100.0
aizawl,4,1098.0,75.4,0.1,0.8,31.4,63.5,6.8,11.2,23.2,40.1,200.0,1,0,1,58.7
west_tripura,2,73.0,14.8,0.75,0.05,19.2,91.2,12.2,0.3,0.3,0.5,63.0,0,0,0,0.0
kamrup,11,5.0,11.9,0.7,0.1,27.5,76.1,23.7,0.8,0.8,1.4,36.0,0,0,0,8.7
dima_hasao,5,953.0,68.9,0.3,0.8,22.9,93.0,2.5,15.3,37.3,44.3,350.0,0,1,0,42.3
sonitpur,4,89.0,19.4,0.6,0.15,29.8,77.3,9.9,29.6,50.0,75.9,170.0,1,1,0,41.5
sonitpur,7,-16.0,19.9,0.6,0.15,25.9,73.4,8.8,20.6,26.2,24.7,425.0,0,1,1,83.5
east_khasi,8,1502.0,60.9,0.2,0.7,30.3,83.3,5.4,58.5,128.7,248.9,484.0,1,1,1,100.0
papum_pare,6,363.0,39.6,0.5,0.4,25.1,70.4,0.6,46.7,103.9,136.1,506.0,1,1,1,100.0
cachar,6,51.0,18.6,0.65,0.2,22.2,77.1,1.4,35.5,85.3,154.0,484.0,1,1,1,95.9
west_khasi,4,1401.0,58.5,0.25,0.75,26.8,92.4,8.0,15.6,26.3,44.7,280.0,1,1,1,58.7
papum_pare,5,262.0,45.3,0.5,0.4,21.6,65.2,0.1,22.7,42.0,67.9,322.0,1,1,0,39.5
west_tripura,11,14.0,0.0,0.75,0.05,32.7,96.1,1.6,3.2,4.7,7.1,42.0,0,0,0,6.5
papum_pare,2,303.0,41.8,0.5,0.4,22.1,62.9,1.4,2.3,3.2,4.8,69.0,0,0,0,13.1
aizawl,11,1060.0,73.4,0.1,0.8,20.9,70.6,1.9,0.4,0.4,0.3,40.0,0,0,0,2.0
cachar,9,14.0,17.4,0.65,0.2,19.4,93.2,25.4,0.7,1.4,2.2,330.0,0,0,0,24.3
west_tripura,4,58.0,1.9,0.75,0.05,25.9,88.4,0.4,7.0,12.9,15.2,210.0,0,0,0,14.6
cachar,8,-29.0,14.8,0.65,0.2,22.1,70.2,4.7,2.7,4.3,6.0,484.0,1,0,0,34.9
dimapur,5,131.0,28.3,0.4,0.2,28.0,88.3,5.7,7.7,7.3,10.2,224.0,0,0,0,16.3
papum_pare,12,326.0,36.7,0.5,0.4,22.0,63.9,1.7,0.5,1.3,1.9,23.0,0,0,0,0.0
imphal_west,4,754.0,53.4,0.35,0.5,34.5,92.9,17.0,30.3,30.0,36.5,150.0,0,0,0,37.9
papum_pare,6,352.0,31.9,0.5,0.4,21.2,72.3,5.5,21.4,27.4,46.5,506.0,1,1,1,78.9
kamrup,4,25.0,13.3,0.7,0.1,23.7,65.1,0.7,5.9,10.1,7.7,180.0,0,0,0,23.4
kamrup,6,25.0,13.9,0.7,0.1,33.8,91.6,33.5,12.6,18.9,21.9,396.0,0,1,1,72.4
dimapur,5,177.0,32.9,0.4,0.2,21.4,66.2,1.8,20.7,21.4,37.2,224.0,0,1,0,35.9
sonitpur,4,164.0,15.1,0.6,0.15,24.4,77.6,3.6,4.2,9.3,11.8,170.0,0,0,0,22.5
aizawl,12,1157.0,75.5,0.1,0.8,28.7,72.7,1.5,1.0,1.0,1.9,20.0,0,0,0,9.4
west_khasi,4,1367.0,62.4,0.25,0.75,30.6,61.3,8.4,2.3,3.1,3.1,280.0,1,0,1,52.1
papum_pare,8,268.0,37.8,0.5,0.4,30.2,84.4,11.8,4.1,4.9,8.0,506.0,1,1,0,35.3
dimapur,11,156.0,37.2,0.4,0.2,34.1,65.8,8.8,1.4,2.1,2.7,32.0,1,0,0,11.5
kohima,3,1453.0,73.0,0.15,0.85,27.8,83.1,5.5,12.1,24.3,21.9,95.0,0,0,0,5.5
east_khasi,3,1601.0,46.5,0.2,0.7,33.7,93.1,7.3,23.0,51.3,44.2,110.0,1,0,0,10.6
dima_hasao,12,894.0,53.4,0.3,0.8,30.5,77.2,2.5,3.2,4.4,5.0,25.0,0,0,0,2.6
imphal_west,9,735.0,48.7,0.35,0.5,28.7,60.5,10.9,27.7,39.2,57.1,225.0,1,0,0,61.7
east_khasi,12,1653.0,55.7,0.2,0.7,21.5,67.2,0.4,1.5,1.8,3.3,22.0,0,0,0,0.0
aizawl,7,1093.0,68.0,0.1,0.8,27.5,65.9,2.0,18.6,28.8,35.1,500.0,1,1,1,83.4
aizawl,7,1137.0,71.1,0.1,0.8,21.9,85.5,0.2,26.9,22.8,22.5,500.0,1,0,1,82.3
west_khasi,4,1381.0,54.6,0.25,0.75,32.5,91.5,5.1,1.5,1.8,2.9,280.0,1,0,1,35.6
cachar,9,63.0,26.8,0.65,0.2,22.4,74.4,8.9,36.8,80.6,92.3,330.0,1,1,1,92.9
kohima,2,1452.0,70.6,0.15,0.85,20.4,93.0,6.7,1.0,2.4,4.1,57.0,0,0,0,14.0
kamrup,2,-26.0,15.4,0.7,0.1,34.7,80.0,1.9,0.8,0.8,1.5,54.0,0,0,0,5.2
cachar,11,76.0,26.3,0.65,0.2,33.3,93.2,9.1,0.5,0.4,0.4,44.0,0,0,0,4.6
cachar,11,-51.0,6.2,0.65,0.2,19.4,82.9,2.8,0.1,0.1,0.2,44.0,0,0,0,0.0
dimapur,10,156.0,22.1,0.4,0.2,33.9,87.8,2.4,4.0,6.5,10.1,96.0,0,0,0,14.8
sonitpur,7,105.0,16.2,0.6,0.15,29.7,76.5,2.8,1.7,3.4,4.5,425.0,0,1,0,29.5
dimapur,10,83.0,25.9,0.4,0.2,20.3,96.1,5.9,2.1,2.1,3.9,96.0,0,0,0,21.4
kohima,9,1485.0,75.3,0.15,0.85,21.8,97.5,28.8,27.0,33.0,44.1,285.0,1,0,1,86.0
east_khasi,9,1499.0,59.7,0.2,0.7,26.1,92.8,18.6,42.6,104.4,201.3,330.0,1,1,1,94.8
kamrup,11,98.0,18.4,0.7,0.1,27.2,90.0,3.8,2.3,2.1,2.3,36.0,0,0,0,4.1
west_tripura,2,85.0,5.4,0.75,0.05,27.0,95.7,16.0,6.4,5.4,9.9,63.0,0,0,0,0.0
papum_pare,9,253.0,31.2,0.5,0.4,24.0,70.9,3.5,23.1,27.8,23.5,345.0,1,1,0,55.3
east_khasi,11,1544.0,49.4,0.2,0.7,32.9,95.9,6.3,3.4,3.2,4.0,44.0,0,0,0,8.8
west_khasi,2,1325.0,68.1,0.25,0.75,21.7,67.1,15.1,3.0,3.6,3.3,84.0,0,0,0,2.6
east_khasi,7,1557.0,52.2,0.2,0.7,30.9,86.4,1.7,145.2,159.1,193.3,550.0,1,1,1,95.8
cachar,8,52.0,18.8,0.65,0.2,33.1,96.3,19.8,50.8,63.6,55.2,484.0,1,1,1,100.0
kamrup,12,66.0,9.4,0.7,0.1,26.4,63.1,2.5,0.4,0.5,0.9,18.0,0,0,0,8.3
west_tripura,5,62.0,9.7,0.75,0.05,22.5,93.4,16.0,6.3,12.3,17.6,294.0,0,0,0,22.1
imphal_west,3,797.0,49.2,0.35,0.5,30.8,66.0,21.3,4.5,8.8,13.2,75.0,0,0,0,5.3
imphal_west,2,828.0,52.0,0.35,0.5,28.5,97.3,10.0,1.6,1.3,1.4,45.0,0,0,0,0.0
papum_pare,5,360.0,37.8,0.5,0.4,23.8,84.0,26.9,23.0,39.6,77.4,322.0,1,0,1,53.2
papum_pare,9,368.0,44.8,0.5,0.4,34.5,96.8,13.8,16.7,14.7,26.9,345.0,1,1,1,75.2
aizawl,4,1022.0,67.8,0.1,0.8,25.6,70.4,58.5,6.7,14.1,22.5,200.0,1,0,0,30.7
cachar,6,-36.0,24.6,0.65,0.2,25.3,95.9,5.4,7.7,18.7,16.7,484.0,1,0,0,51.3
cachar,9,81.0,17.6,0.65,0.2,18.5,84.8,4.6,37.0,44.1,43.1,330.0,1,1,0,78.5
imphal_west,1,852.0,53.6,0.35,0.5,20.2,61.2,25.4,2.8,5.9,8.9,30.0,0,0,0,5.5
aizawl,6,1099.0,79.2,0.1,0.8,26.4,62.4,8.7,25.5,39.0,37.4,440.0,1,1,1,84.0
kohima,1,1443.0,66.6,0.15,0.85,29.8,92.7,15.1,1.2,2.3,2.4,38.0,0,0,0,0.3
sonitpur,6,-22.0,16.0,0.6,0.15,29.9,81.3,0.1,2.9,4.7,7.1,374.0,1,1,1,52.8
east_khasi,4,1539.0,51.3,0.2,0.7,31.6,67.6,1.8,1.6,2.8,4.4,220.0,0,1,0,13.8
kamrup,4,28.0,17.2,0.7,0.1,32.8,87.1,16.2,0.5,0.8,1.3,180.0,1,0,0,14.0
aizawl,2,1080.0,81.6,0.1,0.8,19.4,62.3,2.8,3.1,5.2,8.7,60.0,0,0,0,0.9
sonitpur,12,29.0,18.1,0.6,0.15,34.9,97.0,10.5,0.7,1.4,1.4,17.0,0,1,1,32.9
kohima,2,1366.0,69.4,0.15,0.85,23.9,74.1,43.9,3.7,7.6,9.6,57.0,0,0,0,13.6
imphal_west,3,859.0,57.4,0.35,0.5,28.1,94.7,2.4,8.7,13.1,13.9,75.0,0,0,0,5.6
cachar,11,-33.0,16.5,0.65,0.2,25.6,79.6,4.5,1.5,1.8,3.3,44.0,0,0,0,4.2
kohima,9,1380.0,70.4,0.15,0.85,20.2,96.9,6.0,15.2,20.6,35.2,285.0,1,0,0,57.7
cachar,5,86.0,11.0,0.65,0.2,18.6,88.0,10.9,18.9,20.5,18.8,308.0,0,0,0,28.9
imphal_west,10,786.0,53.7,0.35,0.5,19.0,80.2,27.6,1.0,1.0,1.1,90.0,0,0,0,18.2
dimapur,4,103.0,27.3,0.4,0.2,26.3,85.3,1.5,16.2,25.5,34.9,160.0,0,0,0,31.6
imphal_west,12,808.0,50.8,0.35,0.5,21.0,86.3,18.2,0.8,1.3,2.4,15.0,0,0,0,0.5
west_tripura,4,-24.0,8.3,0.75,0.05,21.7,85.0,5.0,28.1,55.4,87.4,210.0,0,0,0,43.2
west_tripura,5,63.0,6.8,0.75,0.05,31.3,81.5,13.4,55.6,82.9,151.8,294.0,1,1,0,66.9
dimapur,11,86.0,28.2,0.4,0.2,27.3,60.2,3.9,0.9,2.0,1.7,32.0,0,0,0,0.0
papum_pare,6,463.0,36.6,0.5,0.4,19.2,82.9,11.0,6.9,9.8,9.8,506.0,1,0,0,36.2
kohima,9,1478.0,69.9,0.15,0.85,27.9,80.3,9.4,5.9,8.6,10.5,285.0,1,0,1,73.9
kohima,2,1430.0,66.2,0.15,0.85,33.3,69.3,26.2,0.6,0.5,0.8,57.0,0,0,0,7.9
dima_hasao,4,943.0,61.9,0.3,0.8,30.2,70.4,5.3,9.7,12.9,19.2,250.0,0,1,0,27.1
sonitpur,6,148.0,16.1,0.6,0.15,22.4,96.6,6.6,23.1,22.7,32.6,374.0,1,1,0,63.0
kamrup,10,41.0,13.9,0.7,0.1,28.4,75.6,18.3,11.6,13.8,13.5,108.0,0,0,0,27.6
imphal_west,4,805.0,44.1,0.35,0.5,19.6,83.7,6.0,13.0,19.7,30.9,150.0,0,0,0,33.3
aizawl,4,1153.0,83.1,0.1,0.8,28.1,78.9,44.1,7.9,9.4,11.4,200.0,1,0,0,22.9
kamrup,2,45.0,10.1,0.7,0.1,19.8,87.5,8.6,3.2,7.9,6.9,54.0,0,0,0,0.0
west_tripura,11,67.0,4.4,0.75,0.05,19.1,90.4,2.7,0.9,0.8,1.2,42.0,0,0,0,2.8
kamrup,4,52.0,8.5,0.7,0.1,29.3,81.2,13.1,3.6,7.1,14.1,180.0,0,0,0,12.1
sonitpur,1,53.0,18.1,0.6,0.15,30.9,73.2,10.9,1.3,1.3,1.6,34.0,0,0,0,0.0
west_khasi,2,1342.0,60.7,0.25,0.75,28.6,63.4,14.1,3.3,7.3,10.0,84.0,0,0,0,0.0
imphal_west,4,898.0,45.6,0.35,0.5,27.4,71.6,5.1,3.3,3.2,6.1,150.0,0,0,0,12.6
east_khasi,11,1510.0,59.6,0.2,0.7,33.8,64.4,17.0,10.7,24.0,23.3,44.0,0,0,0,2.0
kohima,4,1433.0,68.8,0.15,0.85,23.9,97.1,10.2,4.9,5.4,8.6,190.0,0,0,0,24.2
imphal_west,3,781.0,47.0,0.35,0.5,26.5,75.1,1.6,3.5,7.3,6.8,75.0,1,0,0,5.6
west_tripura,10,42.0,8.3,0.75,0.05,25.5,64.0,10.2,3.6,4.7,6.4,126.0,0,1,1,35.2
aizawl,8,1117.0,71.9,0.1,0.8,34.9,62.2,11.9,33.4,52.8,41.0,440.0,1,1,1,82.0
dima_hasao,8,925.0,69.6,0.3,0.8,20.2,93.7,6.0,26.9,45.6,57.2,550.0,1,0,0,59.0
dimapur,4,170.0,22.3,0.4,0.2,26.2,60.7,3.0,11.7,9.6,11.9,160.0,0,1,1,41.7
sonitpur,2,138.0,14.8,0.6,0.15,19.7,78.6,1.6,2.0,3.2,5.7,51.0,0,0,0,0.0
papum_pare,7,441.0,37.0,0.5,0.4,34.2,89.9,3.8,17.7,37.8,70.2,575.0,1,0,1,85.6
west_khasi,7,1290.0,64.6,0.25,0.75,28.8,83.3,0.7,35.5,68.2,127.0,700.0,1,1,1,95.5
dimapur,8,101.0,18.3,0.4,0.2,19.2,62.7,0.1,0.7,0.7,1.2,352.0,0,0,0,20.4
west_tripura,1,45.0,5.8,0.75,0.05,22.5,60.8,0.9,0.2,0.4,0.7,42.0,0,0,0,8.8
papum_pare,11,396.0,36.8,0.5,0.4,27.0,61.6,34.6,2.2,4.6,7.1,46.0,0,0,0,6.5
papum_pare,2,263.0,43.0,0.5,0.4,33.8,68.5,4.7,3.7,3.8,4.3,69.0,0,0,0,0.0
kamrup,7,69.0,11.2,0.7,0.1,29.0,70.9,16.9,2.9,3.3,6.1,450.0,0,1,0,32.4
west_tripura,6,10.0,11.7,0.75,0.05,34.7,95.6,0.4,24.7,27.2,38.3,462.0,0,1,1,85.0
sonitpur,4,-8.0,17.8,0.6,0.15,27.2,82.4,7.1,6.0,13.4,22.1,170.0,0,0,0,17.2
dima_hasao,4,1014.0,67.4,0.3,0.8,30.3,97.7,1.0,7.7,6.3,6.4,250.0,1,0,0,24.0
imphal_west,8,822.0,46.1,0.35,0.5,31.3,81.1,0.1,15.8,17.7,20.5,330.0,0,1,0,50.0
cachar,7,-60.0,13.9,0.65,0.2,25.6,87.4,21.7,57.6,143.5,169.2,550.0,1,1,1,100.0
cachar,5,34.0,15.2,0.65,0.2,19.6,82.4,6.6,14.9,20.9,36.2,308.0,0,0,0,35.8
kohima,4,1500.0,74.8,0.15,0.85,26.5,62.9,0.6,15.5,19.5,34.6,190.0,0,0,0,29.9
sonitpur,8,112.0,22.6,0.6,0.15,25.4,63.4,2.5,10.8,11.4,12.8,374.0,0,0,0,50.6
imphal_west,2,727.0,44.6,0.35,0.5,32.3,74.6,8.5,3.5,3.5,4.3,45.0,0,0,0,4.6
kamrup,11,-25.0,9.7,0.7,0.1,26.8,71.4,28.2,0.0,0.1,0.1,36.0,0,0,0,1.3
imphal_west,1,835.0,57.0,0.35,0.5,30.4,78.9,5.7,1.0,1.0,0.8,30.0,0,0,0,6.7
sonitpur,4,39.0,10.6,0.6,0.15,19.2,62.2,3.3,11.8,22.7,44.1,170.0,0,1,1,48.3
cachar,7,30.0,25.8,0.65,0.2,18.6,62.4,23.7,41.2,37.6,50.1,550.0,1,1,0,69.3
kohima,8,1418.0,62.2,0.15,0.85,27.5,95.6,0.5,0.5,0.9,1.7,418.0,0,0,0,29.7
dima_hasao,7,929.0,67.8,0.3,0.8,28.3,73.3,1.2,26.0,41.4,81.2,625.0,1,0,0,61.2
kamrup,3,59.0,7.9,0.7,0.1,30.3,62.6,12.3,3.3,3.3,6.0,90.0,0,0,0,0.4
dimapur,1,118.0,35.1,0.4,0.2,19.1,79.5,16.4,0.8,1.6,2.3,32.0,0,0,0,2.2
dimapur,5,72.0,23.5,0.4,0.2,26.8,67.8,21.0,2.0,2.7,4.6,224.0,0,0,0,14.5
kohima,5,1509.0,66.3,0.15,0.85,19.8,85.0,17.3,31.9,54.8,73.8,266.0,0,1,0,46.3
dimapur,12,193.0,25.3,0.4,0.2,28.8,90.3,5.0,0.3,0.6,0.8,16.0,0,0,0,6.4
west_tripura,9,30.0,5.9,0.75,0.05,20.4,67.7,2.0,37.3,47.4,93.7,315.0,1,1,1,100.0
papum_pare,12,371.0,34.7,0.5,0.4,26.6,96.8,5.4,0.1,0.2,0.4,23.0,0,0,0,2.6
kohima,3,1458.0,68.7,0.15,0.85,19.3,87.8,2.1,3.6,7.2,13.4,95.0,0,0,0,5.1
dima_hasao,5,925.0,60.0,0.3,0.8,24.1,78.8,17.6,11.1,24.5,31.8,350.0,0,0,0,28.2
dima_hasao,1,945.0,62.9,0.3,0.8,29.1,83.6,4.3,1.1,1.7,2.8,50.0,0,0,0,9.4
aizawl,12,1108.0,77.9,0.1,0.8,19.2,66.6,19.4,1.1,1.5,2.4,20.0,0,0,0,0.0
imphal_west,1,826.0,50.6,0.35,0.5,29.1,95.7,20.5,0.4,0.3,0.3,30.0,0,0,0,6.0
west_tripura,6,57.0,0.0,0.75,0.05,25.6,77.5,20.0,25.7,45.0,38.0,462.0,0,1,0,63.1
kamrup,1,99.0,14.1,0.7,0.1,30.8,90.6,0.2,3.5,4.6,8.6,36.0,0,0,0,0.2
aizawl,8,1051.0,79.0,0.1,0.8,22.1,60.5,6.3,26.8,46.0,38.0,440.0,1,1,0,63.5
imphal_west,9,794.0,54.5,0.35,0.5,19.3,69.1,15.8,10.1,23.4,22.1,225.0,0,0,0,48.3
cachar,1,50.0,22.9,0.65,0.2,20.0,63.6,24.0,0.1,0.3,0.5,44.0,0,0,0,0.0
imphal_west,2,851.0,46.6,0.35,0.5,33.2,76.8,9.3,1.3,2.7,4.0,45.0,0,0,0,11.5
cachar,2,110.0,18.2,0.65,0.2,29.1,96.1,9.2,0.4,0.5,0.7,66.0,0,0,0,0.3
aizawl,2,1155.0,64.0,0.1,0.8,34.5,72.6,6.6,0.1,0.1,0.2,60.0,0,0,0,0.0
papum_pare,4,417.0,41.6,0.5,0.4,18.6,64.1,4.1,0.1,0.1,0.1,230.0,0,0,0,12.0
dimapur,2,130.0,24.0,0.4,0.2,26.6,93.2,6.8,2.3,2.3,2.6,48.0,0,0,0,0.0
aizawl,4,1139.0,72.6,0.1,0.8,23.3,91.3,31.0,23.8,48.0,71.5,200.0,1,1,1,64.4
aizawl,10,1158.0,76.7,0.1,0.8,20.1,75.9,13.9,2.9,4.6,5.4,120.0,0,0,0,21.2
kamrup,10,73.0,8.9,0.7,0.1,33.5,83.3,20.7,4.9,4.0,6.1,108.0,0,1,0,8.7
sonitpur,7,123.0,11.8,0.6,0.15,20.1,81.2,4.2,14.1,25.2,19.1,425.0,0,1,0,54.0
papum_pare,10,363.0,41.4,0.5,0.4,31.4,77.0,16.0,7.7,9.8,10.7,138.0,0,0,0,13.2
aizawl,9,1084.0,80.9,0.1,0.8,24.4,66.3,5.6,13.8,27.6,44.0,300.0,1,0,0,51.9
west_khasi,5,1320.0,53.8,0.25,0.75,23.3,85.7,9.3,8.2,7.5,9.3,392.0,0,0,0,23.7
dima_hasao,11,895.0,59.3,0.3,0.8,24.5,61.5,0.3,0.1,0.1,0.2,50.0,1,0,0,1.2
west_tripura,6,33.0,13.9,0.75,0.05,34.3,71.9,21.9,7.9,18.4,15.6,462.0,0,1,0,32.2
dima_hasao,5,939.0,57.6,0.3,0.8,27.4,80.6,14.4,7.3,12.5,11.3,350.0,1,0,1,57.0
dimapur,3,162.0,19.6,0.4,0.2,34.4,81.2,4.3,0.2,0.3,0.3,80.0,0,0,0,3.5
papum_pare,11,274.0,44.5,0.5,0.4,24.7,61.5,6.5,1.9,3.6,3.5,46.0,0,0,0,4.1
east_khasi,8,1507.0,58.1,0.2,0.7,31.4,64.7,15.8,18.4,42.0,36.6,484.0,1,1,1,84.5
west_khasi,2,1362.0,62.0,0.25,0.75,22.9,67.7,14.3,8.4,15.1,17.9,84.0,0,0,0,0.0
kamrup,8,47.0,11.0,0.7,0.1,31.0,81.8,31.2,78.2,116.8,207.3,396.0,1,1,0,74.3
aizawl,10,1180.0,80.0,0.1,0.8,18.3,78.1,11.6,4.3,8.0,15.2,120.0,1,0,1,54.5
sonitpur,2,106.0,19.8,0.6,0.15,34.3,60.3,61.3,4.2,5.3,5.2,51.0,0,1,0,5.5
imphal_west,4,752.0,53.6,0.35,0.5,29.2,89.1,18.7,1.2,2.4,4.1,150.0,0,1,0,18.9
imphal_west,5,801.0,40.5,0.35,0.5,19.9,90.7,29.5,5.5,5.0,5.8,210.0,1,0,0,18.3
cachar,6,17.0,18.4,0.65,0.2,22.0,70.7,16.3,1.8,2.7,2.9,484.0,0,1,0,32.5
sonitpur,4,89.0,0.0,0.6,0.15,28.3,73.6,10.4,2.2,4.1,8.1,170.0,0,0,0,8.3
west_khasi,5,1313.0,63.9,0.25,0.75,27.4,79.8,1.5,24.5,53.9,94.1,392.0,1,1,1,74.1
cachar,8,33.0,16.4,0.65,0.2,23.4,60.0,7.2,24.0,21.4,35.9,484.0,0,1,1,79.9
imphal_west,12,782.0,55.6,0.35,0.5,32.3,71.9,15.6,0.1,0.1,0.1,15.0,0,0,0,7.4
east_khasi,10,1587.0,59.8,0.2,0.7,24.6,84.0,12.2,0.6,1.2,1.6,132.0,0,0,0,12.8
papum_pare,9,208.0,45.3,0.5,0.4,18.8,73.7,31.4,1.9,4.1,6.3,345.0,1,1,1,58.3
kamrup,11,-2.0,15.1,0.7,0.1,25.1,91.2,19.0,0.8,0.7,1.3,36.0,0,0,0,7.3
imphal_west,5,867.0,58.0,0.35,0.5,30.6,72.0,10.4,3.7,3.8,5.9,210.0,1,0,1,41.3
papum_pare,2,300.0,38.9,0.5,0.4,26.8,70.2,18.0,1.6,1.4,1.2,69.0,0,0,0,2.3
cachar,5,31.0,18.1,0.65,0.2,29.5,71.9,14.9,9.6,23.4,32.2,308.0,0,1,1,58.3
sonitpur,2,157.0,15.5,0.6,0.15,22.5,60.7,3.5,3.7,8.1,7.0,51.0,0,0,0,7.8
west_tripura,9,-99.0,1.2,0.75,0.05,33.3,89.8,15.2,57.6,129.0,94.3,315.0,1,1,1,95.3
cachar,5,37.0,18.1,0.65,0.2,26.1,62.2,31.7,4.4,7.1,11.8,308.0,0,1,0,15.7
east_khasi,10,1460.0,52.0,0.2,0.7,27.8,65.6,16.7,1.0,1.9,3.2,132.0,0,0,0,25.3
dima_hasao,12,1054.0,60.8,0.3,0.8,33.1,86.9,0.6,3.1,4.0,5.3,25.0,0,0,0,3.5
west_khasi,4,1322.0,51.9,0.25,0.75,31.7,77.5,7.9,15.9,14.8,15.7,280.0,1,0,1,54.3
papum_pare,11,373.0,32.0,0.5,0.4,31.5,92.4,2.8,0.1,0.3,0.5,46.0,0,0,0,3.2
east_khasi,9,1521.0,55.2,0.2,0.7,34.0,96.5,7.4,3.5,7.5,14.0,330.0,0,1,0,31.7
kohima,5,1474.0,63.7,0.15,0.85,31.1,79.0,0.1,14.6,15.7,22.6,266.0,1,0,0,29.6
kamrup,2,-12.0,7.6,0.7,0.1,20.0,71.0,5.1,0.1,0.1,0.2,54.0,0,0,0,0.0
papum_pare,7,387.0,33.9,0.5,0.4,22.3,81.4,4.4,24.7,34.8,60.0,575.0,1,0,1,83.4
east_khasi,1,1448.0,55.2,0.2,0.7,32.7,70.7,30.0,0.1,0.1,0.1,44.0,0,0,0,12.6
