distance_km,road_condition,bridge_condition,avg_slope_risk,avg_elevation_m,rainfall_24h_mm,temp_celsius,congestion_level,flood_risk_level,landslide_probability,commodity_type,weight_kg,priority,month,delay_minutes,safety_score,route_rank
148.9,1,1,71.9,1117.0,1.1,28.6,1,18.0,1.0,construction,11028.0,1,10,414.1,63,2
199.0,1,0,56.7,1238.0,6.4,23.5,1,24.0,0.91,food,1638.0,4,4,404.1,61,2
219.1,1,0,28.6,250.0,66.5,32.2,0,100.0,1.0,medicine,2768.0,5,8,1396.3,38,3
263.3,1,0,32.2,502.0,1.7,30.1,3,14.0,0.02,food,11200.0,4,2,874.0,81,2
266.4,1,0,38.8,762.0,1.3,25.1,2,12.0,0.03,construction,709.0,1,11,477.6,76,2
259.6,0,0,20.7,102.0,0.8,18.7,1,100.0,0.25,construction,1919.0,1,7,117.8,71,1
389.7,1,1,52.5,961.0,5.8,20.9,1,70.0,1.0,agri,9709.0,2,9,1161.3,45,2
167.0,0,0,19.3,68.0,0.7,28.6,1,14.0,0.02,general,2863.0,1,11,55.6,91,1
421.1,0,1,46.7,594.0,1.5,18.5,1,14.0,0.02,fuel,6128.0,3,11,313.5,87,1
111.6,1,1,44.2,550.0,1.2,27.3,3,6.0,0.16,agri,13628.0,2,11,522.7,77,2
426.6,0,1,41.1,594.0,0.7,19.7,0,84.0,0.13,construction,12751.0,1,5,165.4,74,1
252.4,1,0,44.3,762.0,25.2,22.8,1,100.0,0.375,medicine,13223.0,5,8,533.1,49,2
327.5,0,0,15.8,20.0,21.5,22.8,2,100.0,0.5,food,14862.0,4,9,612.9,55,1
228.0,1,0,35.2,250.0,1.3,31.2,2,10.0,0.08,general,6720.0,1,2,419.3,79,2
317.8,2,2,57.6,870.0,2.8,19.8,2,6.0,0.16,fuel,5141.0,3,11,2584.1,73,2
174.6,1,1,48.1,578.0,2.2,18.2,3,13.0,0.04,agri,8815.0,2,3,790.0,75,2
268.5,1,0,48.5,762.0,6.1,23.0,2,100.0,0.375,fuel,11978.0,3,9,622.9,49,2
180.1,0,0,13.9,68.0,0.4,26.4,1,84.0,0.13,agri,13372.0,2,10,68.9,73,1
275.8,0,0,30.6,215.0,0.2,20.4,0,10.0,0.08,medicine,1720.0,5,1,9.3,95,1
193.8,1,0,57.6,1238.0,0.9,32.0,0,24.0,0.91,food,14806.0,4,5,238.3,63,2
266.6,1,0,35.2,502.0,3.3,31.8,0,84.0,0.13,fuel,11769.0,3,4,179.2,73,2
331.9,0,0,25.9,202.0,1.2,33.4,0,14.0,0.02,general,7296.0,1,2,7.5,89,1
267.6,0,0,33.9,215.0,0.3,20.0,1,10.0,0.08,fuel,14452.0,3,2,95.4,91,1
187.6,1,0,41.1,515.0,1.1,32.8,0,12.0,0.03,general,8531.0,1,3,107.5,85,2
507.8,0,0,28.8,422.0,6.7,28.7,1,70.0,1.0,food,8973.0,4,9,579.6,63,1
332.8,0,0,23.9,20.0,0.6,22.8,0,100.0,0.5,fuel,3228.0,3,9,76.4,63,1
144.5,1,1,50.4,1117.0,3.3,27.9,2,18.0,1.0,fuel,10429.0,3,4,613.5,58,2
162.3,1,1,39.9,578.0,2.1,32.0,3,13.0,0.04,agri,13058.0,2,12,733.9,82,2
205.2,1,0,39.0,470.0,0.0,24.4,0,8.0,0.04,general,14564.0,1,11,114.5,83,2
196.5,1,0,52.0,1238.0,35.3,26.0,0,40.0,1.0,fuel,13038.0,3,8,528.9,48,2
350.6,0,0,48.6,750.0,18.6,34.9,3,3.0,0.17,food,12820.0,4,2,980.7,77,1
136.5,1,0,42.1,488.0,1.6,20.2,0,13.0,0.04,agri,10240.0,2,2,80.0,86,2
99.2,0,0,34.7,790.0,1.9,19.9,2,84.0,0.13,fuel,8042.0,3,10,95.2,76,1
144.9,1,0,40.3,488.0,4.2,27.5,0,78.0,0.26,food,917.0,4,10,112.0,69,2
179.5,0,0,11.3,68.0,2.1,30.0,0,14.0,0.02,general,5584.0,1,2,6.2,93,1
272.4,1,0,37.2,502.0,3.6,25.4,1,84.0,0.13,medicine,11863.0,5,4,315.8,68,2
306.8,0,0,14.9,40.0,15.4,32.7,0,100.0,0.25,medicine,7157.0,5,6,106.6,71,1
241.0,1,0,26.0,250.0,6.2,23.6,0,60.0,0.52,agri,2369.0,2,4,242.6,68,2
269.6,0,0,22.0,215.0,1.5,20.4,0,60.0,0.52,fuel,13503.0,3,4,68.4,75,1
189.5,1,0,37.3,515.0,0.7,20.9,0,12.0,0.03,fuel,1786.0,3,12,107.2,83,2
466.6,0,0,31.3,422.0,3.7,21.5,1,42.0,0.65,construction,1070.0,1,4,357.3,63,1
200.8,0,0,19.4,115.0,6.3,19.4,2,48.0,0.26,medicine,11350.0,5,4,233.4,75,1
532.6,0,0,21.9,35.0,0.3,24.3,0,14.0,0.02,construction,7207.0,1,11,6.3,92,1
251.1,0,0,39.4,775.0,0.8,22.3,1,40.0,1.0,construction,8216.0,1,7,251.2,64,1
374.7,1,1,58.4,961.0,0.4,27.1,0,7.0,0.1,medicine,791.0,5,12,396.9,79,2
540.2,0,0,18.4,35.0,0.3,23.6,2,14.0,0.02,construction,7727.0,1,1,460.9,91,1
81.5,0,0,55.3,1438.0,2.0,28.0,0,4.0,0.14,food,4615.0,4,2,6.7,92,1
165.7,1,1,39.5,578.0,9.1,27.7,0,78.0,0.26,fuel,2716.0,3,4,234.4,67,2
331.4,0,0,36.9,750.0,0.7,21.2,2,3.0,0.17,construction,1663.0,1,3,318.1,83,1
270.7,0,0,33.8,802.0,5.0,34.7,3,72.0,0.195,construction,13050.0,1,5,607.6,65,1
216.7,0,0,41.6,688.0,0.8,20.9,1,13.0,0.04,construction,8788.0,1,2,74.5,88,1
537.9,0,0,6.2,35.0,2.1,21.2,1,14.0,0.02,general,4015.0,1,1,191.4,87,1
168.3,0,0,7.8,68.0,2.0,22.9,1,14.0,0.02,food,8223.0,4,2,59.7,93,1
253.1,1,0,47.5,762.0,7.0,20.3,0,100.0,0.375,construction,10382.0,1,7,231.1,56,2
497.6,0,0,22.1,422.0,5.4,26.0,3,42.0,0.65,construction,12544.0,1,4,1420.7,63,1
282.6,1,0,38.9,502.0,0.5,30.4,1,14.0,0.02,construction,12707.0,1,3,284.4,82,2
168.7,0,0,11.9,68.0,28.5,21.4,2,100.0,0.25,agri,10145.0,2,7,320.9,60,1
390.9,1,1,68.5,961.0,3.7,32.9,1,42.0,0.65,construction,5966.0,1,5,918.8,58,2
279.0,0,0,19.6,215.0,1.6,30.7,2,10.0,0.08,food,6066.0,4,3,256.7,88,1
180.8,1,0,60.1,1197.0,23.7,28.6,0,36.0,1.0,medicine,12013.0,5,4,378.4,56,2
273.2,1,0,36.1,502.0,0.5,33.2,0,14.0,0.02,agri,4103.0,2,12,152.0,87,2
276.6,1,0,40.9,502.0,0.0,27.7,0,14.0,0.02,fuel,12408.0,3,1,151.4,86,2
466.1,0,0,37.4,422.0,16.9,20.2,0,70.0,1.0,fuel,3824.0,3,9,418.5,54,1
270.9,1,0,44.6,762.0,1.7,28.9,0,12.0,0.03,fuel,5513.0,3,1,158.1,90,2
319.5,0,0,21.5,202.0,8.6,27.9,3,14.0,0.02,medicine,2724.0,5,3,699.7,76,1
272.3,0,0,19.0,102.0,1.0,28.4,1,14.0,0.02,food,13876.0,4,11,92.1,93,1
219.5,1,0,30.8,470.0,0.3,27.8,2,8.0,0.04,fuel,14048.0,3,2,388.9,88,2
218.9,0,0,39.3,688.0,3.2,19.9,1,78.0,0.26,fuel,6286.0,3,10,109.5,73,1
296.2,0,0,19.3,40.0,1.8,31.6,3,84.0,0.13,medicine,5522.0,5,10,610.2,62,1
192.0,0,0,18.7,115.0,1.7,25.7,0,8.0,0.04,fuel,3058.0,3,11,7.1,89,1
379.9,1,1,46.9,574.0,10.0,33.6,1,100.0,0.125,agri,690.0,2,6,749.3,54,2
243.9,0,0,32.7,408.0,0.3,34.3,0,13.0,0.04,general,14955.0,1,11,4.8,88,1
200.0,1,1,66.1,1041.0,9.0,19.1,2,36.0,1.0,agri,3475.0,2,4,918.9,52,2
208.3,1,0,33.9,470.0,0.1,26.0,2,8.0,0.04,general,7073.0,1,3,367.9,82,2
310.8,2,2,51.6,870.0,12.8,24.8,0,60.0,1.0,agri,12996.0,2,8,2262.7,47,2
282.0,0,0,12.9,102.0,0.7,22.6,0,14.0,0.02,construction,2764.0,1,1,4.5,99,1
561.9,0,0,6.5,35.0,2.3,18.5,1,14.0,0.02,fuel,786.0,3,2,201.9,90,1
230.5,0,0,27.9,408.0,21.2,21.0,0,100.0,0.5,agri,4026.0,2,9,142.3,62,1
194.2,1,0,48.2,515.0,29.0,32.1,0,100.0,0.375,medicine,4751.0,5,6,307.3,49,2
218.3,0,0,40.6,688.0,0.3,19.5,1,100.0,0.5,agri,13444.0,2,6,129.4,57,1
273.4,1,0,49.1,762.0,6.3,22.4,0,100.0,0.375,fuel,9550.0,3,8,245.1,53,2
307.2,2,2,58.6,870.0,4.8,25.4,2,36.0,1.0,general,2532.0,1,10,3302.3,47,2
394.0,1,1,39.8,574.0,1.1,33.2,0,15.0,0.01,general,4396.0,1,1,399.6,89,2
311.3,2,2,58.4,870.0,2.0,22.4,3,6.0,0.16,medicine,8123.0,5,11,3346.4,67,2
183.8,1,0,31.9,515.0,3.0,18.3,1,72.0,0.195,medicine,9946.0,5,5,219.6,70,2
568.1,0,0,11.3,35.0,0.2,18.2,1,14.0,0.02,fuel,10143.0,3,12,184.4,95,1
188.7,0,0,21.9,115.0,23.4,25.1,0,72.0,0.195,agri,2911.0,2,5,91.2,65,1
245.7,0,0,30.9,408.0,0.1,28.3,0,13.0,0.04,agri,5657.0,2,12,4.0,87,1
245.3,0,0,44.4,408.0,0.6,27.6,3,13.0,0.04,general,11122.0,1,11,474.0,81,1
310.9,0,0,10.1,20.0,0.4,22.5,1,100.0,0.5,construction,9154.0,1,9,185.3,66,1
314.7,0,0,13.9,20.0,2.6,19.8,1,13.0,0.04,medicine,10482.0,5,1,117.6,90,1
144.1,1,1,63.2,1117.0,3.0,31.9,0,18.0,1.0,medicine,9058.0,5,5,293.5,63,2
172.6,0,0,6.9,68.0,1.5,33.6,1,100.0,0.25,food,13158.0,4,6,80.3,70,1
327.4,0,0,17.2,20.0,7.2,29.2,0,13.0,0.04,general,7597.0,1,3,37.2,93,1
330.5,0,0,45.1,750.0,50.1,34.0,0,30.0,1.0,general,10613.0,1,9,769.9,55,2
142.1,1,1,59.8,1117.0,29.4,34.5,2,30.0,1.0,medicine,12746.0,5,9,892.4,49,2
432.0,0,1,36.5,594.0,3.8,18.6,0,14.0,0.02,general,1616.0,1,2,166.0,91,1
198.8,0,0,19.1,115.0,4.2,30.3,1,100.0,0.375,medicine,11965.0,5,9,117.0,64,1
186.6,1,0,53.3,1238.0,5.2,33.1,0,24.0,0.91,fuel,13116.0,3,10,250.1,64,2
185.7,0,0,17.4,115.0,35.3,27.0,1,100.0,0.375,food,9599.0,4,7,273.2,62,2
321.6,0,0,6.6,40.0,41.7,31.1,2,84.0,0.13,agri,3962.0,2,5,794.5,58,2
297.9,0,0,10.0,40.0,6.9,22.9,0,100.0,0.25,food,759.0,4,6,60.2,69,1
220.2,0,0,33.6,688.0,1.0,24.5,3,13.0,0.04,medicine,11902.0,5,11,428.2,85,1
234.9,0,0,36.3,775.0,7.1,32.9,1,40.0,1.0,construction,2922.0,1,9,271.0,64,1
204.6,0,0,25.8,115.0,1.8,34.0,1,72.0,0.195,food,3845.0,4,4,90.0,79,1
261.3,0,0,31.8,802.0,4.2,21.2,0,100.0,0.375,medicine,14552.0,5,7,57.7,70,1
280.4,0,0,33.1,802.0,1.8,34.9,2,12.0,0.03,agri,10592.0,2,12,249.7,83,1
188.3,0,0,21.0,115.0,2.2,21.8,1,8.0,0.04,general,8911.0,1,11,69.0,86,1
201.4,0,0,41.7,688.0,25.9,22.5,1,78.0,0.26,food,1761.0,4,5,208.7,67,1
545.0,0,0,9.8,35.0,8.4,22.4,0,100.0,0.25,medicine,3693.0,5,7,122.7,76,1
493.9,0,0,13.6,422.0,0.5,32.5,1,42.0,0.65,food,12458.0,4,4,345.8,71,1
384.1,1,1,65.4,961.0,15.0,27.6,2,70.0,1.0,agri,10048.0,2,6,1920.1,41,2
144.9,1,0,44.0,488.0,17.8,30.0,1,78.0,0.26,medicine,9470.0,5,4,245.5,62,2
172.2,1,1,45.7,578.0,3.8,33.0,0,100.0,0.5,agri,11281.0,2,7,254.9,57,2
106.3,1,1,43.9,550.0,5.1,32.1,0,6.0,0.16,agri,9445.0,2,2,129.8,82,2
256.8,0,0,39.7,775.0,1.8,22.4,2,4.0,0.14,fuel,2051.0,3,11,247.4,91,1
220.6,1,0,43.5,470.0,1.0,34.4,3,8.0,0.04,fuel,1986.0,3,11,731.1,73,2
88.7,0,0,62.9,1438.0,2.0,19.2,0,4.0,0.14,medicine,8941.0,5,1,7.3,83,1
315.1,0,0,14.8,20.0,4.3,18.8,0,13.0,0.04,fuel,821.0,3,3,22.6,91,1
314.4,0,0,10.2,20.0,1.2,31.1,0,13.0,0.04,medicine,14958.0,5,1,9.5,100,1
143.9,1,1,63.2,1117.0,10.0,20.8,0,30.0,1.0,general,1695.0,1,6,330.3,59,2
203.6,1,1,73.3,1041.0,26.6,22.6,1,60.0,1.0,fuel,9759.0,3,7,850.7,42,2
227.6,1,0,37.0,250.0,0.9,34.7,0,10.0,0.08,construction,3590.0,1,2,135.7,84,2
160.1,1,1,46.1,578.0,13.0,24.3,3,78.0,0.26,medicine,3190.0,5,5,913.7,59,2
150.3,1,1,62.3,1117.0,2.3,31.1,1,3.0,0.17,fuel,2403.0,3,1,264.4,80,2
160.1,1,1,46.1,578.0,49.1,28.5,0,100.0,0.5,construction,2315.0,1,6,626.1,49,2
275.0,0,0,14.8,102.0,0.8,21.4,1,14.0,0.02,agri,4400.0,2,11,92.1,91,1
206.0,1,1,67.7,1041.0,0.7,25.7,1,6.0,0.16,medicine,4729.0,5,11,350.7,70,2
316.0,2,2,57.4,870.0,29.5,31.3,0,60.0,1.0,agri,4010.0,2,9,2940.7,39,2
204.5,0,0,27.5,115.0,2.2,26.5,1,80.0,0.5,construction,642.0,1,6,128.6,69,1
176.9,1,0,66.2,1197.0,10.9,19.5,0,60.0,1.0,food,6255.0,4,9,285.5,49,2
161.8,1,1,43.6,578.0,18.4,29.7,0,100.0,0.5,general,2016.0,1,7,318.8,55,2
75.0,0,0,56.6,797.0,1.6,18.5,2,8.0,0.04,general,10854.0,1,11,66.9,84,1
278.1,0,0,41.6,802.0,1.7,31.9,1,72.0,0.195,fuel,9832.0,3,10,121.9,73,1
310.8,2,2,52.3,870.0,32.9,19.4,2,60.0,1.0,fuel,10051.0,3,7,3341.3,34,2
175.0,0,0,13.7,68.0,8.2,30.2,0,84.0,0.13,agri,10363.0,2,5,29.1,76,1
229.7,0,0,39.5,408.0,0.7,22.4,2,100.0,0.5,fuel,11269.0,3,7,279.8,58,1
198.5,1,1,71.1,1041.0,9.3,24.3,1,60.0,1.0,construction,11016.0,1,8,624.6,50,2
339.5,0,0,32.8,750.0,3.1,33.3,1,3.0,0.17,food,13729.0,4,11,152.8,86,1
223.3,1,0,29.4,250.0,19.7,28.7,2,100.0,1.0,general,13681.0,1,8,904.0,41,2
256.5,1,0,44.1,762.0,0.4,34.5,1,12.0,0.03,medicine,4085.0,5,11,259.3,81,2
186.7,1,0,73.2,1197.0,8.8,26.8,0,60.0,1.0,general,6171.0,1,9,289.0,44,2
89.0,0,0,63.0,1438.0,0.8,29.2,0,4.0,0.14,food,14562.0,4,2,5.8,84,1
308.6,2,2,57.9,870.0,2.7,19.2,0,36.0,1.0,food,12519.0,4,4,1973.7,49,2
193.7,0,0,15.8,115.0,0.4,28.5,0,12.0,0.03,medicine,1032.0,5,1,3.2,96,1
215.0,0,0,40.9,688.0,21.1,26.1,1,100.0,0.5,fuel,13090.0,3,8,232.1,57,1
262.1,0,0,18.7,102.0,1.9,22.6,3,100.0,0.25,construction,1070.0,1,8,574.7,62,1
161.7,1,1,46.9,578.0,0.5,33.9,0,13.0,0.04,general,2651.0,1,12,165.1,78,2
77.6,0,0,48.2,797.0,47.2,18.1,2,80.0,0.5,construction,7094.0,1,8,263.6,51,2
210.3,0,0,44.5,688.0,3.0,29.3,0,13.0,0.04,general,10265.0,1,3,11.3,86,1
183.2,0,0,18.9,68.0,0.2,29.4,0,14.0,0.02,construction,10543.0,1,2,1.9,93,1
144.7,1,0,53.5,488.0,12.7,29.6,2,13.0,0.04,general,8774.0,1,3,318.7,74,2
362.2,1,1,36.1,574.0,49.4,29.7,1,100.0,0.125,medicine,6211.0,5,8,1621.9,53,2
213.2,0,0,38.7,688.0,0.3,29.2,2,13.0,0.04,construction,11845.0,1,2,184.4,86,1
191.3,1,0,31.6,515.0,20.1,32.9,1,100.0,0.375,general,12214.0,1,8,362.7,52,2
390.0,1,1,40.7,574.0,20.1,25.4,1,100.0,0.125,fuel,584.0,3,9,928.1,58,2
196.5,1,1,65.6,1041.0,10.0,24.7,1,60.0,1.0,fuel,3944.0,3,8,625.0,52,2
227.1,1,0,40.7,250.0,5.9,19.2,1,100.0,1.0,fuel,7221.0,3,7,485.9,47,2
335.9,0,0,38.7,750.0,7.6,26.8,0,3.0,0.17,general,6013.0,1,3,58.8,88,1
480.1,0,0,37.9,422.0,11.5,27.1,2,70.0,1.0,agri,10913.0,2,8,1013.6,54,1
219.6,0,0,37.7,688.0,0.0,21.3,3,13.0,0.04,agri,1374.0,2,11,420.2,84,1
396.5,1,1,33.0,574.0,8.0,19.7,0,100.0,0.125,general,4956.0,1,8,503.9,64,2
216.4,0,0,46.6,688.0,9.5,23.3,0,78.0,0.26,construction,6496.0,1,5,53.8,72,1
259.8,0,0,19.0,102.0,0.1,29.6,2,14.0,0.02,agri,2050.0,2,12,220.5,84,1
211.4,0,0,46.0,688.0,3.7,34.4,1,78.0,0.26,agri,1129.0,2,5,107.6,68,1
202.7,1,1,70.2,1041.0,45.4,28.2,0,60.0,1.0,medicine,3575.0,5,9,929.5,40,2
192.1,1,0,38.6,515.0,1.8,32.3,0,12.0,0.03,food,11818.0,4,3,112.4,87,2
72.3,0,0,44.1,797.0,1.1,25.2,1,8.0,0.04,food,7051.0,4,12,25.3,89,1
242.1,0,0,32.2,408.0,0.5,30.5,0,13.0,0.04,construction,843.0,1,2,5.2,93,1
197.8,0,0,17.2,115.0,13.2,27.3,1,80.0,0.5,fuel,7703.0,3,6,171.4,61,1
409.0,1,1,55.3,961.0,2.2,29.8,2,70.0,1.0,medicine,10540.0,5,7,1711.4,41,2
251.8,0,0,36.8,408.0,3.0,19.8,0,100.0,0.5,construction,1652.0,1,7,67.1,68,1
93.9,0,0,28.0,790.0,9.7,21.3,0,84.0,0.13,construction,1507.0,1,10,17.9,71,1
485.9,0,0,32.2,422.0,0.1,31.6,2,7.0,0.1,agri,9938.0,2,1,437.1,82,1
311.0,2,2,61.0,870.0,9.8,23.7,2,60.0,1.0,construction,7245.0,1,7,3343.5,46,2
133.8,1,0,44.2,488.0,16.0,34.3,0,100.0,0.5,food,8270.0,4,8,167.4,51,2
105.6,1,1,51.6,550.0,15.0,30.9,2,60.0,1.0,construction,13944.0,1,7,527.8,42,2
95.4,0,0,39.6,790.0,9.2,20.6,1,100.0,0.25,agri,9542.0,2,7,58.2,64,1
206.2,1,0,40.0,470.0,0.9,20.2,2,8.0,0.04,food,1024.0,4,12,369.0,82,2
382.3,1,1,53.3,961.0,0.9,24.1,0,7.0,0.1,fuel,6984.0,3,3,410.0,84,2
99.0,0,0,34.8,790.0,13.1,33.6,2,100.0,0.25,fuel,3523.0,3,7,132.7,61,1
102.2,0,0,38.1,790.0,0.3,31.9,2,14.0,0.02,general,12186.0,1,2,87.0,85,1
149.2,1,1,54.1,1117.0,1.4,19.4,1,3.0,0.17,construction,5518.0,1,3,258.3,78,2
282.8,0,0,34.9,802.0,1.4,32.0,1,12.0,0.03,agri,11590.0,2,1,98.7,91,1
71.6,0,0,45.6,797.0,9.8,24.8,0,80.0,0.5,food,874.0,4,6,27.3,61,1
375.8,1,1,62.1,961.0,43.6,27.3,0,70.0,1.0,agri,7839.0,2,6,1653.3,41,2
73.6,0,0,50.2,797.0,1.0,28.9,1,48.0,0.26,construction,2704.0,1,5,34.0,71,1
306.0,0,0,13.7,20.0,4.0,25.8,3,13.0,0.04,construction,3968.0,1,2,625.7,85,1
94.5,0,0,35.0,790.0,0.1,23.2,0,14.0,0.02,fuel,7887.0,3,12,0.8,89,1
283.4,1,0,43.2,502.0,26.6,28.5,1,100.0,0.25,food,6678.0,4,6,578.0,49,2
260.0,0,0,16.0,102.0,3.1,25.6,1,14.0,0.02,medicine,12499.0,5,11,96.9,87,1
100.3,0,0,30.6,790.0,10.6,18.2,0,84.0,0.13,food,4267.0,4,4,20.5,65,1
100.6,0,0,28.5,790.0,0.6,27.1,1,84.0,0.13,food,7088.0,4,10,38.8,73,1
217.2,0,0,36.8,688.0,0.5,26.3,2,13.0,0.04,construction,7402.0,1,3,188.6,83,1
434.5,0,1,44.9,594.0,2.2,25.8,3,84.0,0.13,food,11910.0,4,10,1262.3,66,1
382.8,1,1,65.9,961.0,0.7,25.4,0,7.0,0.1,agri,13576.0,2,12,408.6,79,2
189.3,1,0,61.4,1238.0,4.5,29.2,1,4.0,0.14,fuel,1466.0,3,3,225.0,80,2
440.8,0,1,53.6,594.0,0.6,30.5,0,14.0,0.02,agri,1729.0,2,3,146.0,89,1
561.9,0,0,6.0,35.0,0.3,19.2,0,84.0,0.13,medicine,5571.0,5,10,30.9,83,1
318.5,2,2,63.4,870.0,6.5,21.1,0,36.0,1.0,general,804.0,1,10,2136.4,53,2
70.9,0,0,50.5,797.0,55.0,23.0,0,80.0,0.5,general,3482.0,1,7,143.1,56,2
161.6,1,1,48.8,578.0,2.5,31.2,0,13.0,0.04,fuel,14543.0,3,2,172.6,89,2
216.3,0,0,46.3,688.0,0.9,34.7,2,13.0,0.04,general,12271.0,1,2,189.9,89,1
314.9,2,2,52.3,870.0,0.3,23.8,1,6.0,0.16,fuel,9388.0,3,11,1765.5,68,2
459.5,0,1,44.6,594.0,1.2,20.1,1,84.0,0.13,medicine,4646.0,5,10,370.7,70,1
252.7,0,0,35.7,775.0,26.1,32.4,2,40.0,1.0,construction,7178.0,1,9,701.7,55,1
196.5,1,0,54.8,1238.0,3.4,31.2,1,4.0,0.14,fuel,14778.0,3,2,228.5,81,2
88.7,0,0,59.5,1438.0,0.1,20.8,2,4.0,0.14,construction,3596.0,1,1,82.2,80,1
280.2,0,0,39.0,215.0,5.1,30.5,1,10.0,0.08,construction,4814.0,1,2,122.3,90,1
191.2,1,0,66.4,1238.0,2.1,32.8,0,4.0,0.14,construction,7193.0,1,11,124.9,82,2
185.4,0,0,26.4,115.0,4.8,30.3,0,100.0,0.375,food,8549.0,4,7,42.6,66,1
388.9,1,1,47.5,574.0,1.6,21.2,1,15.0,0.01,agri,576.0,2,11,620.0,79,2
497.7,0,0,23.8,422.0,0.5,30.7,0,70.0,1.0,construction,4931.0,1,8,270.8,58,1
114.1,1,1,53.6,550.0,123.4,24.3,2,60.0,1.0,food,9099.0,4,6,1227.0,28,3
326.4,0,0,31.8,202.0,5.4,29.8,0,84.0,0.13,construction,9029.0,1,5,40.6,72,1
209.6,0,0,46.7,688.0,19.9,19.1,1,100.0,0.5,fuel,9251.0,3,8,219.0,61,1
